route,controller,permission,entitlement,tenant_enforcement,resource_relationship_scope,lifecycle,SoD,service_evidence,known_gap
POST /api/v1/auth/login,AuthController.login,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:37",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
POST /api/v1/auth/password-recovery/confirm,AuthController.confirmPasswordRecovery,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:107",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
POST /api/v1/auth/refresh,AuthController.refresh,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:129",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
POST /api/v1/auth/logout,AuthController.logout,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:149",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
GET /api/v1/auth/sessions,AuthController.listSessions,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:179",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
POST /api/v1/auth/sessions/:sessionId/revoke,AuthController.revokeSession,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:195",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
POST /api/v1/auth/change-password,AuthController.changePassword,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Own account/session; tenant resolved from authenticated identity or credential login,Current active user/tenant and unexpired session; reset revokes families,No approval SoD for self-service,"AuthService; JwtAuthGuard; live user/tenant, session-family checks; recovery transaction and authVersion fence; apps/api/src/auth/auth.controller.ts:219",No server tenant switching; mobile offline cached session remains a distinct evidence boundary
GET /api/v1/students/options,StudentsController.listStudentOptions,'students:read','module.students',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant predicates; TeacherScopeService assignment for teacher-only users; no guardian substitution,Active enrollment required on teacher profile path,Read operation; N/A,StudentsService.getStudentProfile / listStudentOptions; TeacherScopeService; student-profile-sanitizer; apps/api/src/students/students.controller.ts:87,H03: general students:read profile still includes sensitive fields for non-support callers
GET /api/v1/students/:id,StudentsController.getStudentProfile,'students:read','module.students',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant predicates; TeacherScopeService assignment for teacher-only users; no guardian substitution,Active enrollment required on teacher profile path,Read operation; N/A,StudentsService.getStudentProfile / listStudentOptions; TeacherScopeService; student-profile-sanitizer; apps/api/src/students/students.controller.ts:150,H03: general students:read profile still includes sensitive fields for non-support callers
GET /api/v1/attendance/rosters,AttendanceController.getRoster,'attendance:read','module.attendance',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant/year/class/section roster; homeroom vs period capability,"Roster version, authorization version, submission replay, finalized locks and correction policy",Correction/reopen permissions distinct from mark; per-action service checks,AttendanceService; TeacherScopeService; current scope fingerprint; transaction and clientSubmissionId; apps/api/src/attendance/attendance.controller.ts:71,Existing assignment engine retained; complete browser/device sync recovery not certified
GET /api/v1/attendance/register/export,AttendanceController.exportMonthlyRegister,"'attendance:read', 'reports:export'",'module.attendance',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant/year/class/section roster; homeroom vs period capability,"Roster version, authorization version, submission replay, finalized locks and correction policy",Correction/reopen permissions distinct from mark; per-action service checks,AttendanceService; TeacherScopeService; current scope fingerprint; transaction and clientSubmissionId; apps/api/src/attendance/attendance.controller.ts:128,Existing assignment engine retained; complete browser/device sync recovery not certified
POST /api/v1/attendance/sessions,AttendanceController.submitAttendance,'attendance:mark','module.attendance',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant/year/class/section roster; homeroom vs period capability,"Roster version, authorization version, submission replay, finalized locks and correction policy",Correction/reopen permissions distinct from mark; per-action service checks,AttendanceService; TeacherScopeService; current scope fingerprint; transaction and clientSubmissionId; apps/api/src/attendance/attendance.controller.ts:259,Existing assignment engine retained; complete browser/device sync recovery not certified
POST /api/v1/attendance/sync,AttendanceController.syncAttendance,'attendance:mark','module.attendance',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant/year/class/section roster; homeroom vs period capability,"Roster version, authorization version, submission replay, finalized locks and correction policy",Correction/reopen permissions distinct from mark; per-action service checks,AttendanceService; TeacherScopeService; current scope fingerprint; transaction and clientSubmissionId; apps/api/src/attendance/attendance.controller.ts:268,Existing assignment engine retained; complete browser/device sync recovery not certified
GET /api/v1/mobile/me/students,MobileController.listMyStudents,Service/self/domain contract; no nonempty permission decorator,'students'; FEATURE_KEYS.MOBILE_PARENT_BASIC,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant + user + exact requested child + active approved verified guardian capability,Active enrolled child and effective guardian link; parent results projection,Read operation; N/A,MobileService; ParentScopeContextService; requireGuardianCapability; apps/api/src/mobile/mobile.controller.ts:48,No silent child fallback; remote revocation while disconnected cannot be instantly learned
GET /api/v1/mobile/me/dashboard,MobileController.getDashboard,Service/self/domain contract; no nonempty permission decorator,'students'; FEATURE_KEYS.MOBILE_PARENT_BASIC,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant + user + exact requested child + active approved verified guardian capability,Active enrolled child and effective guardian link; parent results projection,Read operation; N/A,MobileService; ParentScopeContextService; requireGuardianCapability; apps/api/src/mobile/mobile.controller.ts:54,No silent child fallback; remote revocation while disconnected cannot be instantly learned
GET /api/v1/mobile/students/:id/profile,MobileController.getStudentProfile,Service/self/domain contract; no nonempty permission decorator,'students'; FEATURE_KEYS.MOBILE_PARENT_BASIC,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant + user + exact requested child + active approved verified guardian capability,Active enrolled child and effective guardian link; parent results projection,Read operation; N/A,MobileService; ParentScopeContextService; requireGuardianCapability; apps/api/src/mobile/mobile.controller.ts:143,No silent child fallback; remote revocation while disconnected cannot be instantly learned
GET /api/v1/files/:id/signed-preview,FileRegistryController.getSignedPreview,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Asset tenant; student/homework/payroll owner checks by module,Uploaded status; signed URL TTL; source notice lifecycle not checked by generic module branch,Read operation; N/A,FileRegistryService.assertFileAccessForAuth; StorageService; protected support denial; apps/api/src/file-registry/file-registry.controller.ts:204,H05: notices:read alone authorizes generic non-OWNER notice files; signed links outlive grant until expiry
GET /api/v1/files/:id/signed-download,FileRegistryController.getSignedDownload,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Asset tenant; student/homework/payroll owner checks by module,Uploaded status; signed URL TTL; source notice lifecycle not checked by generic module branch,Read operation; N/A,FileRegistryService.assertFileAccessForAuth; StorageService; protected support denial; apps/api/src/file-registry/file-registry.controller.ts:212,H05: notices:read alone authorizes generic non-OWNER notice files; signed links outlive grant until expiry
GET /api/v1/files/:id/preview,FileRegistryController.previewFile,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Asset tenant; student/homework/payroll owner checks by module,Uploaded status; signed URL TTL; source notice lifecycle not checked by generic module branch,Read operation; N/A,FileRegistryService.assertFileAccessForAuth; StorageService; protected support denial; apps/api/src/file-registry/file-registry.controller.ts:220,H05: notices:read alone authorizes generic non-OWNER notice files; signed links outlive grant until expiry
GET /api/v1/files/:id/download,FileRegistryController.downloadFile,Service/self/domain contract; no nonempty permission decorator,TenantActive/service check; no module decorator,Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Asset tenant; student/homework/payroll owner checks by module,Uploaded status; signed URL TTL; source notice lifecycle not checked by generic module branch,Read operation; N/A,FileRegistryService.assertFileAccessForAuth; StorageService; protected support denial; apps/api/src/file-registry/file-registry.controller.ts:247,H05: notices:read alone authorizes generic non-OWNER notice files; signed links outlive grant until expiry
GET /api/v1/reports/,ReportsController.listReports,'reports:read','module.reports',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant and teacher class/section; saved export scope checks,Export state/history; current tenant active,Export capability per registry; read-only output,ReportsService registry permissions; assertTeacherReportScope; ReportsProcessor.completeQueuedExport; apps/api/src/reports/reports.controller.ts:28,H04: async worker reuses payload role/permission snapshot
POST /api/v1/reports/:reportKey/export,ReportsController.exportReport,'reports:export','module.reports',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant and teacher class/section; saved export scope checks,Export state/history; current tenant active,Export capability per registry; read-only output,ReportsService registry permissions; assertTeacherReportScope; ReportsProcessor.completeQueuedExport; apps/api/src/reports/reports.controller.ts:40,H04: async worker reuses payload role/permission snapshot
POST /api/v1/accounting/fiscal-periods/:id/reopen,AccountingController.reopenFiscalPeriod,'accounting:fiscal:reopen','module.accounting',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant journal/period; no teacher/guardian access expected,SUBMITTED->APPROVED->POSTED; open period; reversal lineage,Creator cannot approve own manual journal; accountant still combines approve/post/reverse/reopen,AccountingService; AccountingPostingService; tenant lookups and state checks; apps/api/src/accounting/accounting.controller.ts:265,"Partial dynamic SoD; Phase 2C, not a claim of absent journal protection"
POST /api/v1/accounting/journals/:id/approve,AccountingController.approveManualJournal,'accounting:journals:approve','module.accounting',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant journal/period; no teacher/guardian access expected,SUBMITTED->APPROVED->POSTED; open period; reversal lineage,Creator cannot approve own manual journal; accountant still combines approve/post/reverse/reopen,AccountingService; AccountingPostingService; tenant lookups and state checks; apps/api/src/accounting/accounting.controller.ts:390,"Partial dynamic SoD; Phase 2C, not a claim of absent journal protection"
POST /api/v1/accounting/journals/:id/post,AccountingController.postApprovedManualJournal,'accounting:journals:post','module.accounting',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant journal/period; no teacher/guardian access expected,SUBMITTED->APPROVED->POSTED; open period; reversal lineage,Creator cannot approve own manual journal; accountant still combines approve/post/reverse/reopen,AccountingService; AccountingPostingService; tenant lookups and state checks; apps/api/src/accounting/accounting.controller.ts:410,"Partial dynamic SoD; Phase 2C, not a claim of absent journal protection"
POST /api/v1/accounting/journals/:id/reverse,AccountingController.reverseJournalEntry,'accounting:journals:reverse','module.accounting',Jwt trusted context + Prisma CLS except explicit pre-auth/platform context,Tenant journal/period; no teacher/guardian access expected,SUBMITTED->APPROVED->POSTED; open period; reversal lineage,Creator cannot approve own manual journal; accountant still combines approve/post/reverse/reopen,AccountingService; AccountingPostingService; tenant lookups and state checks; apps/api/src/accounting/accounting.controller.ts:436,"Partial dynamic SoD; Phase 2C, not a claim of absent journal protection"
